"Common_Name","Location_Name","Distance"
"American Robin","Rusty Blackbird 44.798099 -122.724814",106.9
"American Robin","45.33815 -122.66930 Oregon Golf Club",56
"American Robin","42.55579, -122.73302",162
"American Robin","44.63031 -123.15168 Bowers Rock",116
"American Robin","Dawson and Park Roads",120
"American Robin","Le Brun Rd NE 45.140018 -122.927858",68.4
"American Robin","43.16529, -120.91350",297
"American Robin","44.80044 -122.73395 Rusty Blackbird",218
"American Robin","BP08",233.1
"American Robin","43.82240, -123.3255",19
"American Robin","Bellfountain 361x361",65
"American Robin","43.97569, -122.75198",70
"American Robin","42.55579, -122.73302",179
"American Robin","44.411764 -118.952858",40
"American Robin","43.48651, -123.29404",275
"American Robin","Maxfield Creek Rd. 4.0",31
"American Robin","209 Picardy Ln. ",90
"American Robin","43.93323 -119.29112",175
"American Robin","Richardson 9052x3946",95
"American Robin","44.260048  -119.867578",130
"American Robin","45.12592 -123.02902 SE Grand Island Loop",246
"American Robin","45.43373, -118.25861",87
"American Robin","42.66269, -122.93819",120
"American Robin","Hultman 8009x1458",90
"American Robin","Whiskey Butte Dr. 3.5 44.38311 -122.58972 ",180
"American Robin","Wild Turkey 45.315650 -123.305679",58
"American Robin","Price Creek Road 1.5",5
"American Robin","45.74092 -122.77372 Racetrack Lake",71
"American Robin","44.89345 -119.45630",200
"American Robin","43.75288 -120.81960",150
"American Robin","Orchard Heights 9610x1080",50
"American Robin","Bethel Hts Rd 0324x1641",66
"American Robin","West Perrydale 0406x3508",125
"American Robin","Harley Rd 45.48990 -117.43820",68
"American Robin","Golden Valley 44.54254 -122.82524",52
"American Robin","44.30442, -121.21914",138
"American Robin","Sawtell Mennonite Cemetery",63
"American Robin","Godias Creek OUT 45.46950 -116.79315",127
"American Robin","43.37283  -124.08689",170
"American Robin","E10",90
"American Robin","Bellfountain Rd. 1",40
"American Robin","11p",100
"American Robin","Old River Rd. 320x252",300
"American Robin","Marys River Rd. 3",12
"American Robin","SE Walnut Hill Rd 45.123661 -123.120242",49.3
"American Robin","4-H Rd 0083x1296",19
"American Robin","44.19184 -118.53869",50
"American Robin","Camp Creek Rd Wallowa 45.56242  -116.89510",92
"American Robin","West Hills 556x329",125
"American Robin","Western Gull 44.878264 -123.005827",137
"American Robin","Oak Grove Rd 0723x1862",20
"American Robin","43.74837 -122.97183 Dorena Lake",NA
"American Robin","Woods Creek Rd. 2.0",65
"American Robin","44.617618 -118.754803",90
"American Robin","Van Horn S Spur 308x683",150
"American Robin","Old River Rd. 9.0",150
"American Robin","43.040322  -124.158460",43
